id,title,format,updated_at,web_url,details,analytics_identifier,parent_organisations,child_organisations,superseded_organisations,superseding_organisations,oscar_match,oscar_match_score,oscar_budget_£k,non_govuk_domain,oscar_match_name
https://www.gov.uk/api/organisations/academy-for-social-justice,Academy for Social Justice,Other,2024-08-29 13:57:07+00:00,https://www.gov.uk/government/organisations/academy-for-social-justice,"{'slug': 'academy-for-social-justice', 'abbreviation': '', 'logo_formatted_name': 'Academy for Social Justice', 'organisation_brand_colour_class_name': 'ministry-of-justice', 'organisation_logo_type_class_name': 'single-identity', 'closed_at': None, 'govuk_status': 'live', 'govuk_closed_status': None, 'content_id': 'b854f170-53c8-4098-bf77-e8ef42f93107'}",OT1276,"[{'id': 'https://www.gov.uk/api/organisations/ministry-of-justice', 'web_url': 'https://www.gov.uk/government/organisations/ministry-of-justice'}]",[],"[{'id': 'https://www.gov.uk/api/organisations/academy-for-social-justice-commissioning', 'web_url': 'https://www.gov.uk/government/organisations/academy-for-social-justice-commissioning'}]",[],False,,,,
https://www.gov.uk/api/organisations/accelerated-capability-environment,Accelerated Capability Environment,Sub organisation,2023-05-24 14:14:28+00:00,https://www.gov.uk/government/organisations/accelerated-capability-environment,"{'slug': 'accelerated-capability-environment', 'abbreviation': 'ACE', 'logo_formatted_name': 'Accelerated Capability Environment', 'organisation_brand_colour_class_name': 'home-office', 'organisation_logo_type_class_name': 'custom', 'closed_at': None, 'govuk_status': 'live', 'govuk_closed_status': None, 'content_id': '92bbe2da-8d5f-480b-8da1-50b18e317654'}",OT1369,"[{'id': 'https://www.gov.uk/api/organisations/home-office', 'web_url': 'https://www.gov.uk/government/organisations/home-office'}]",[],[],[],False,,,,
https://www.gov.uk/api/organisations/active-travel-england,Active Travel England,Executive agency,2024-10-03 12:15:30+00:00,https://www.gov.uk/government/organisations/active-travel-england,"{'slug': 'active-travel-england', 'abbreviation': 'ATE', 'logo_formatted_name': 'Active Travel England', 'organisation_brand_colour_class_name': 'department-for-transport', 'organisation_logo_type_class_name': 'single-identity', 'closed_at': None, 'govuk_status': 'exempt', 'govuk_closed_status': None, 'content_id': 'c963b443-e0b1-4730-8c7e-526441fcd205'}",EA1350,"[{'id': 'https://www.gov.uk/api/organisations/department-for-transport', 'web_url': 'https://www.gov.uk/government/organisations/department-for-transport'}]",[],[],[],False,,,https://www.activetravelengland.gov.uk,
https://www.gov.uk/api/organisations/administration-of-radioactive-substances-advisory-committee,Administration of Radioactive Substances Advisory Committee,Other,2021-09-15 11:03:46+00:00,https://www.gov.uk/government/organisations/administration-of-radioactive-substances-advisory-committee,"{'slug': 'administration-of-radioactive-substances-advisory-committee', 'abbreviation': 'ARSAC', 'logo_formatted_name': 'Administration of <br/>Radioactive Substances <br/>Advisory Committee', 'organisation_brand_colour_class_name': 'department-of-health', 'organisation_logo_type_class_name': 'single-identity', 'closed_at': None, 'govuk_status': 'live', 'govuk_closed_status': None, 'content_id': 'b5bd9a64-4315-492e-9679-3e2f6799c769'}",PB523,"[{'id': 'https://www.gov.uk/api/organisations/department-of-health-and-social-care', 'web_url': 'https://www.gov.uk/government/organisations/department-of-health-and-social-care'}]",[],[],[],False,,,,
https://www.gov.uk/api/organisations/administrative-court,Administrative Court,Court,2022-12-16 18:54:50+00:00,https://www.gov.uk/government/organisations/administrative-court,"{'slug': 'administrative-court', 'abbreviation': '', 'logo_formatted_name': 'Administrative Court', 'organisation_brand_colour_class_name': None, 'organisation_logo_type_class_name': 'no-identity', 'closed_at': None, 'govuk_status': 'live', 'govuk_closed_status': None, 'content_id': 'b0bdfcf3-2763-4002-961e-a0b2d7825038'}",CO1188,"[{'id': 'https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service', 'web_url': 'https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service'}]",[],[],[],False,,,,
https://www.gov.uk/api/organisations/admiralty-court,Admiralty Court,Court,2021-04-15 09:04:09+00:00,https://www.gov.uk/government/organisations/admiralty-court,"{'slug': 'admiralty-court', 'abbreviation': '', 'logo_formatted_name': 'Admiralty Court', 'organisation_brand_colour_class_name': None, 'organisation_logo_type_class_name': 'no-identity', 'closed_at': None, 'govuk_status': 'live', 'govuk_closed_status': None, 'content_id': '2585bb7b-6134-4176-8309-db184573a4c1'}",CO1147,"[{'id': 'https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service', 'web_url': 'https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service'}]",[],[],[],False,,,,
https://www.gov.uk/api/organisations/advanced-research-and-invention-agency,Advanced Research and Invention Agency,Executive non-departmental public body,2023-04-19 10:19:40+00:00,https://www.gov.uk/government/organisations/advanced-research-and-invention-agency,"{'slug': 'advanced-research-and-invention-agency', 'abbreviation': 'ARIA', 'logo_formatted_name': 'Advanced Research and Invention Agency', 'organisation_brand_colour_class_name': None, 'organisation_logo_type_class_name': 'no-identity', 'closed_at': None, 'govuk_status': 'exempt', 'govuk_closed_status': None, 'content_id': '330bdc96-a584-450e-9536-5932691e5cd7'}",PB1364,"[{'id': 'https://www.gov.uk/api/organisations/department-for-science-innovation-and-technology', 'web_url': 'https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology'}]",[],[],[],True,1.0,30870.0,https://www.aria.org.uk,Advanced Research and Invention Agency
https://www.gov.uk/api/organisations/advisory-committee-on-animal-feedingstuffs,Advisory Committee on Animal Feedingstuffs,Advisory non-departmental public body,2021-04-15 09:01:23+00:00,https://www.gov.uk/government/organisations/advisory-committee-on-animal-feedingstuffs,"{'slug': 'advisory-committee-on-animal-feedingstuffs', 'abbreviation': 'ACAF', 'logo_formatted_name': 'Advisory Committee on <br/>Animal Feedingstuffs', 'organisation_brand_colour_class_name': None, 'organisation_logo_type_class_name': 'single-identity', 'closed_at': None, 'govuk_status': 'exempt', 'govuk_closed_status': None, 'content_id': 'b02a8db0-6bbb-4010-9584-1a6623dc7012'}",PB573,"[{'id': 'https://www.gov.uk/api/organisations/food-standards-agency', 'web_url': 'https://www.gov.uk/government/organisations/food-standards-agency'}]",[],[],[],False,,,http://www.food.gov.uk/acaf,
https://www.gov.uk/api/organisations/advisory-committee-on-business-appointments,Advisory Committee on Business Appointments,Advisory non-departmental public body,2023-06-08 20:45:56+00:00,https://www.gov.uk/government/organisations/advisory-committee-on-business-appointments,"{'slug': 'advisory-committee-on-business-appointments', 'abbreviation': 'ACOBA', 'logo_formatted_name': 'Advisory Committee on Business Appointments', 'organisation_brand_colour_class_name': 'cabinet-office', 'organisation_logo_type_class_name': 'single-identity', 'closed_at': None, 'govuk_status': 'live', 'govuk_closed_status': None, 'content_id': '6e414d7c-61af-4113-b039-435e461ddaf2'}",PB336,"[{'id': 'https://www.gov.uk/api/organisations/cabinet-office', 'web_url': 'https://www.gov.uk/government/organisations/cabinet-office'}]",[],[],[],False,,,,
https://www.gov.uk/api/organisations/advisory-committee-on-clinical-impact-awards,Advisory Committee on Clinical Impact Awards,Advisory non-departmental public body,2024-02-09 13:41:24+00:00,https://www.gov.uk/government/organisations/advisory-committee-on-clinical-impact-awards,"{'slug': 'advisory-committee-on-clinical-impact-awards', 'abbreviation': 'ACCIA', 'logo_formatted_name': 'Advisory Committee on Clinical Impact Awards', 'organisation_brand_colour_class_name': 'department-of-health', 'organisation_logo_type_class_name': 'no-identity', 'closed_at': None, 'govuk_status': 'live', 'govuk_closed_status': None, 'content_id': 'd3eb23ce-23ad-4d26-88b2-b088c525dbb0'}",PB1354,"[{'id': 'https://www.gov.uk/api/organisations/department-of-health-and-social-care', 'web_url': 'https://www.gov.uk/government/organisations/department-of-health-and-social-care'}]",[],"[{'id': 'https://www.gov.uk/api/organisations/advisory-committee-on-clinical-excellence-awards', 'web_url': 'https://www.gov.uk/government/organisations/advisory-committee-on-clinical-excellence-awards'}]",[],False,,,,
